,price
737878,180.75
737698,10.25
737832,50.0099983215332
737560,4.050000190734863
737864,277.5199890136719
737837,52.65999984741211
737903,149.0
737838,49.77000045776367
737663,4.96999979019165
737712,12.670000076293945
737637,4.059999942779541
737767,16.3700008392334
737735,11.520000457763672
737900,164.13999938964844
737781,16.219999313354492
737669,7.300000190734863
737621,4.130000114440918
737844,44.970001220703125
737889,169.6999969482422
737565,4.5
737812,42.59000015258789
737826,54.040000915527344
737886,185.2100067138672
737628,4.019999980926514
737606,4.329999923706055
737787,21.309999465942383
737732,10.75
737822,316.55999755859375
737776,13.960000038146973
737790,19.25
737798,18.18000030517578
737769,13.119999885559082
737921,137.0
737664,5.110000133514404
737661,5.099999904632568
737881,193.36000061035156
737595,4.949999809265137
737749,12.550000190734863
737920,161.30999755859375
737802,19.959999084472656
737902,159.10000610351562
737601,4.329999923706055
737671,7.880000114440918
737657,4.619999885559082
737641,4.130000114440918
737761,15.699999809265137
737607,4.309999942779541
737924,160.0
737756,15.289999961853027
737705,9.229999542236328
737620,4.21999979019165
737774,12.779999732971191
737922,145.6999969482422
737831,50.77000045776367
737731,10.819999694824219
737724,14.930000305175781
737780,15.8100004196167
737874,123.48999786376953
737825,91.19000244140625
737846,169.55999755859375
737885,171.0
737626,3.950000047683716
737690,10.449999809265137
737636,4.0
737916,160.86000061035156
737700,9.380000114440918
737815,96.7300033569336
737614,4.099999904632568
737910,175.0
737839,48.4900016784668
737726,12.270000457763672
737728,11.640000343322754
737805,38.4900016784668
737697,10.0
737672,7.78000020980835
737816,88.55999755859375
737908,172.10000610351562
737704,9.5600004196167
737830,56.61000061035156
737796,17.34000015258789
737734,11.270000457763672
737633,4.019999980926514
737654,4.78000020980835
737766,17.0
737811,39.22999954223633
737818,265.0
737727,11.880000114440918
737693,9.1899995803833
737635,3.940000057220459
737809,41.54999923706055
737605,4.349999904632568
737662,4.880000114440918
737843,46.689998626708984
737804,38.09000015258789
737753,14.229999542236328
737564,4.579999923706055
737763,16.299999237060547
737579,4.239999771118164
737640,4.03000020980835
737754,13.600000381469727
737740,11.5
737563,4.400000095367432
737677,7.960000038146973
737648,4.429999828338623
737587,4.639999866485596
737773,13.34000015258789
737789,19.3799991607666
737794,19.0
737775,13.960000038146973
737795,17.350000381469727
737762,16.479999542236328
737923,147.44000244140625
737797,18.469999313354492
737747,11.800000190734863
737630,4.059999942779541
737703,9.4399995803833
737847,117.45999908447266
737777,15.779999732971191
737873,157.97999572753906
737909,176.55999755859375
737768,13.920000076293945
737892,158.11000061035156
737829,72.41000366210938
737866,217.83999633789062
737592,4.949999809265137
737824,112.01000213623047
737578,4.269999980926514
737853,125.0
737668,5.769999980926514
737642,4.5
737782,20.170000076293945
737713,11.989999771118164
737691,10.600000381469727
737868,195.72999572753906
737706,9.539999961853027
